City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
210,Sarangani,PH,5.4,125.46,77.81,85,100,1.9,light rain
211,Dikson,RU,73.51,80.55,51.13,87,88,4.97,overcast clouds
212,Half Moon Bay,US,37.46,-122.43,72.0,72,40,12.75,scattered clouds
213,Olafsvik,IS,64.89,-23.71,47.19,87,63,19.64,broken clouds
214,Thompson,CA,55.74,-97.86,73.4,38,20,3.36,few clouds
215,Tambacounda,SN,13.75,-13.76,82.4,74,20,13.87,few clouds
216,Mulege,MX,26.88,-111.98,93.33,43,69,8.68,broken clouds
217,Sebinkarahisar,TR,40.29,38.42,57.85,75,35,5.86,scattered clouds
218,Cabo San Lucas,MX,22.89,-109.91,91.99,52,20,2.95,few clouds
219,Pisek,CZ,49.31,14.15,69.01,99,100,3.38,light rain
220,Den Helder,NL,52.96,4.76,64.4,63,40,10.29,scattered clouds
221,Lhokseumawe,ID,5.18,97.15,78.33,80,100,5.91,overcast clouds
222,Nantucket,US,41.28,-70.1,77.0,73,1,14.99,clear sky
223,Hasaki,JP,35.73,140.83,70.0,100,20,4.7,few clouds
224,Arman,RU,59.7,150.17,50.54,73,0,3.58,clear sky
225,Tautira,PF,-17.73,-149.15,78.8,69,75,5.82,broken clouds
226,Kyaikto,MM,17.3,97.02,78.91,91,100,15.57,heavy intensity rain
227,Beloha,MG,-25.17,45.05,62.83,72,0,15.48,clear sky
228,Bambous Virieux,MU,-20.34,57.76,70.0,73,75,17.22,broken clouds
229,Upernavik,GL,72.79,-56.15,43.48,64,84,7.81,broken clouds
230,Nouadhibou,MR,20.93,-17.03,75.2,83,0,24.16,clear sky
231,Kayerkan,RU,69.35,87.76,59.0,67,100,4.47,overcast clouds
232,Trat,TH,12.5,102.5,77.09,94,100,9.19,moderate rain
233,Paamiut,GL,61.99,-49.67,45.23,97,100,16.06,overcast clouds
234,Baikunthpur,IN,23.25,82.55,81.14,73,99,1.77,overcast clouds
235,Todos Santos,MX,23.45,-110.22,81.0,76,67,4.0,broken clouds
236,Sola,VU,-13.88,167.55,76.26,90,42,18.19,scattered clouds
237,Mitsamiouli,KM,-11.38,43.28,77.0,69,20,10.29,few clouds
238,Magistralnyy,RU,56.17,107.45,62.11,67,3,9.48,clear sky
239,Aswan,EG,24.09,32.91,102.56,22,64,9.66,broken clouds
240,Broken Hill,AU,-31.95,141.43,53.6,37,100,8.05,overcast clouds
241,Nizhniy Tsasuchey,RU,50.52,115.13,59.56,93,100,5.1,overcast clouds
242,Makakilo City,US,21.35,-158.09,80.6,61,20,8.05,few clouds
243,Assiniboia,CA,49.63,-105.98,78.51,31,35,12.77,scattered clouds
244,Sulangan,PH,11.14,123.72,83.59,73,99,5.19,overcast clouds
245,Rosendal,NO,59.99,6.01,57.0,80,100,3.0,light rain
246,Pangkalanbuun,ID,-2.68,111.62,74.75,97,100,1.43,light rain
247,Xam Nua,LA,20.42,104.04,69.37,95,100,2.82,light rain
248,Husavik,IS,66.04,-17.34,53.6,81,90,8.05,overcast clouds
249,Mossendjo,CG,-2.95,12.73,71.37,75,53,1.99,broken clouds
250,Shamary,RU,57.34,58.22,61.83,93,97,8.23,light rain
251,Crotone,IT,39.09,17.12,91.4,29,0,2.24,clear sky
252,Katsuura,JP,35.13,140.3,75.2,88,20,4.7,few clouds
253,Puerto Del Rosario,ES,28.5,-13.86,80.6,74,0,16.11,clear sky
254,Villanueva De Cordoba,ES,38.32,-4.63,104.0,11,0,10.29,clear sky
255,Geraldton,AU,-28.77,114.6,57.2,87,40,6.93,scattered clouds
256,Grand Gaube,MU,-20.01,57.66,70.0,74,28,5.01,scattered clouds
257,Anjozorobe,MG,-18.4,47.87,53.6,76,75,11.41,broken clouds
258,Bandarbeyla,SO,9.49,50.81,79.11,69,66,31.03,broken clouds
259,Jacareacanga,BR,-6.22,-57.75,100.36,18,14,1.79,few clouds
260,Kutum,SD,14.2,24.67,74.16,74,89,11.21,light rain
261,Manta,EC,-0.95,-80.73,82.4,69,75,9.17,broken clouds
262,Aykhal,RU,66.0,111.5,62.6,48,66,4.47,broken clouds
263,Asau,RO,46.43,26.4,61.0,74,18,1.05,few clouds
264,Meadow Lake,US,34.8,-106.54,82.99,41,20,6.93,few clouds
265,Troitskoye,RU,52.98,84.68,61.97,77,27,9.08,scattered clouds
266,Zhanaozen,KZ,43.3,52.8,82.76,24,41,7.85,scattered clouds
267,Lorengau,PG,-2.02,147.27,81.57,80,39,12.55,light rain
268,Otane,NZ,-39.88,176.63,41.0,94,96,1.86,overcast clouds
269,Xining,CN,36.62,101.77,59.56,53,77,2.77,broken clouds
270,Beringovskiy,RU,63.05,179.32,47.59,75,100,18.59,overcast clouds
271,Whitehorse,CA,60.72,-135.05,60.01,58,75,14.99,broken clouds
272,Sawtell,AU,-30.38,153.1,50.0,100,47,8.05,scattered clouds
273,Adrar,MR,20.5,-10.07,108.45,7,0,7.87,clear sky
274,Tabas,IR,33.6,56.92,98.6,13,0,4.7,clear sky
275,Lazaro Cardenas,MX,17.96,-102.2,87.67,60,1,6.22,clear sky
276,Winnemucca,US,40.97,-117.74,86.0,7,1,5.82,clear sky
277,Lasa,IT,46.62,10.7,68.0,68,40,5.82,scattered clouds
278,Holbeach,GB,52.8,0.01,72.0,47,78,3.0,light rain
279,Tiksi,RU,71.69,128.87,42.15,92,89,5.03,overcast clouds
280,Hovd,MN,48.01,91.64,56.26,61,95,8.3,overcast clouds
281,The Valley,AI,18.22,-63.06,89.6,74,20,9.17,few clouds
282,Waipawa,NZ,-41.41,175.52,50.0,76,90,10.29,overcast clouds
283,Dingli,MT,35.86,14.38,84.2,74,20,9.17,few clouds
284,Syracuse,IT,37.09,15.28,91.4,46,0,6.93,clear sky
285,Naryan-Mar,RU,67.67,53.09,57.11,82,84,5.14,broken clouds
286,Bathsheba,BB,13.22,-59.52,87.8,70,40,16.11,scattered clouds
287,Bitam,GA,2.08,11.5,70.74,91,36,4.47,light rain
288,Srednekolymsk,RU,67.45,153.68,52.57,67,84,1.25,broken clouds
289,Balagansk,RU,54.01,103.05,58.59,92,99,12.1,overcast clouds
290,Sur,OM,22.57,59.53,84.83,68,1,10.87,clear sky
291,Bolshaya Rechka,RU,51.95,104.74,57.2,100,90,15.66,light intensity shower rain
292,Presidencia Roque Saenz Pena,AR,-26.79,-60.44,90.05,29,5,10.85,clear sky
293,Yumen,CN,40.28,97.2,69.22,22,0,13.09,clear sky
294,Iskateley,RU,67.68,53.15,57.09,83,84,4.99,broken clouds
295,Lata,PT,40.16,-8.33,73.99,59,57,8.99,broken clouds
296,Mandalgovi,MN,45.76,106.27,56.57,73,2,18.43,clear sky
297,Harper,LR,4.38,-7.72,75.97,71,79,5.95,broken clouds
298,Ler,SS,8.3,30.14,73.17,92,98,3.87,light rain
299,Savasleyka,RU,55.46,42.32,55.04,91,91,1.86,light rain
300,Tacoronte,ES,28.48,-16.41,84.99,83,20,19.46,few clouds
301,Calabozo,VE,8.92,-67.43,82.62,81,35,6.22,moderate rain
302,Port Alfred,ZA,-33.59,26.89,71.58,27,0,8.5,clear sky
303,Aksarka,RU,66.56,67.8,63.99,65,94,7.14,overcast clouds
304,Markova,UA,48.68,24.41,64.4,77,3,2.24,clear sky
305,Namatanai,PG,-3.67,152.43,79.56,83,77,7.14,light rain
306,Faanui,PF,-16.48,-151.75,78.28,80,72,13.56,broken clouds
307,Khingansk,RU,49.12,131.18,61.29,92,100,14.7,overcast clouds
308,Lompoc,US,34.64,-120.46,66.2,72,0,5.82,clear sky
309,Hualmay,PE,-11.1,-77.61,66.85,66,42,10.2,scattered clouds
310,Ballina,AU,-28.87,153.57,51.01,100,62,7.18,broken clouds
311,Fortuna,US,40.6,-124.16,66.0,1,0,4.0,clear sky
312,Port Hawkesbury,CA,45.62,-61.35,82.99,47,1,9.17,clear sky
313,Naduvattam,IN,11.48,76.57,56.07,100,100,3.89,light rain
314,Maceio,BR,-9.67,-35.74,75.2,88,75,8.05,shower rain
315,Kamaishi,JP,39.27,141.88,67.78,80,67,7.02,broken clouds
316,San Javier,ES,37.81,-0.84,88.0,74,0,6.93,clear sky
317,Cap-Aux-Meules,CA,47.38,-61.86,77.0,73,20,14.99,few clouds
318,Lluta,PE,-16.01,-72.01,73.4,9,44,10.29,scattered clouds
319,Nalut,LY,30.33,10.85,90.72,11,0,6.62,clear sky
320,Tottori,JP,35.5,134.23,75.69,81,51,6.4,broken clouds
321,Bonthe,SL,7.53,-12.51,74.07,88,100,9.4,overcast clouds
322,Amberley,US,39.2,-84.43,78.01,64,75,10.29,broken clouds
323,Los Llanos De Aridane,ES,28.66,-17.92,78.01,73,20,14.99,few clouds
324,Fare,PF,-16.7,-151.02,78.75,78,77,12.24,broken clouds
325,Dubbo,AU,-32.25,148.62,35.6,100,72,6.93,broken clouds
326,Zwedru,LR,6.07,-8.13,78.48,77,97,3.11,overcast clouds
327,Pimentel,PE,-6.84,-79.93,64.4,77,90,11.41,mist
328,Alofi,NU,-19.06,-169.92,60.8,93,18,1.12,few clouds
329,La Ronge,CA,55.1,-105.28,75.2,53,20,11.41,few clouds
330,Jalu,LY,29.03,21.55,93.79,27,0,16.78,clear sky
331,Arinos,BR,-15.92,-46.11,85.37,26,0,7.23,clear sky
332,Channel-Port Aux Basques,CA,47.57,-59.14,67.1,81,1,15.57,clear sky
333,Longyearbyen,SJ,78.22,15.64,48.2,87,20,3.36,few clouds
334,Wanxian,CN,30.8,108.39,81.45,72,33,2.3,scattered clouds
335,Necochea,AR,-38.55,-58.74,54.0,84,93,8.99,overcast clouds
336,Kibuye,RW,-2.06,29.35,77.0,47,20,6.93,few clouds
337,Kahului,US,20.89,-156.47,80.6,61,40,12.75,scattered clouds
338,Chifeng,CN,42.27,118.96,71.33,47,8,8.32,clear sky
339,Uyovu,TZ,-3.28,31.53,70.38,30,0,4.99,clear sky
340,Provideniya,RU,64.38,-173.3,44.38,64,95,10.63,overcast clouds
341,Klobuck,PL,50.9,18.94,75.0,53,75,4.7,broken clouds
342,Nizwa,OM,22.93,57.53,93.76,37,18,8.1,few clouds
343,Utmanzai,PK,34.19,71.76,91.4,55,40,6.93,haze
344,Badarwas,IN,24.97,77.57,81.09,81,81,7.72,broken clouds
345,Georgiyevka,KZ,43.04,74.71,64.4,82,75,6.71,light intensity shower rain
346,Caramay,PH,10.18,119.24,80.69,75,100,2.8,overcast clouds
347,Chuy,UY,-33.7,-53.46,65.97,80,100,1.79,overcast clouds
348,Port-Cartier,CA,50.03,-66.87,77.0,64,40,9.17,scattered clouds
349,Lagos,NG,6.58,3.75,75.97,80,89,6.96,overcast clouds
350,Chernyshevskiy,RU,63.01,112.47,55.17,77,0,2.93,clear sky
351,Heihe,CN,50.24,127.49,68.0,100,40,11.18,scattered clouds
352,Steamboat Springs,US,40.48,-106.83,82.99,21,1,4.7,clear sky
353,Snasa,NO,64.25,12.38,66.2,77,40,5.82,scattered clouds
354,Chicama,PE,-7.84,-79.15,71.98,58,45,10.33,scattered clouds
355,Parana,AR,-31.73,-60.52,72.37,62,83,4.23,broken clouds
356,Khatanga,RU,71.97,102.5,59.47,79,2,6.13,clear sky
357,Yulara,AU,-25.24,130.99,41.0,23,0,5.82,clear sky
358,Kasongo,CD,-4.45,26.67,84.36,29,75,3.94,broken clouds
359,Tuatapere,NZ,-46.13,167.68,44.73,90,68,2.77,broken clouds
360,Ranghulu,CN,46.65,124.87,69.44,88,100,7.7,light rain
361,Winchester,GB,51.07,-1.32,66.99,63,40,10.29,scattered clouds
362,Mbanza-Ngungu,CD,-5.25,14.87,78.76,49,0,9.98,clear sky
363,Mpika,ZM,-11.83,31.45,54.95,64,58,3.96,broken clouds
