City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
415,Wagar,SD,88.3,overcast clouds,16.15,36.2,
417,Saint-Augustin,CA,70.61,clear sky,51.23,-58.65,
419,Siguiri,GN,79.02,moderate rain,11.67,-9.5,
421,Hunfeld,DE,73.99,broken clouds,50.68,9.77,BEST WESTERN PLUS Konrad Zuse Hotel
422,Muscat,OM,89.6,few clouds,23.61,58.59,Mutrah Hotel
423,Gat,IL,82.99,clear sky,31.61,34.76,רגע בנחת
424,Villefranche-De-Rouergue,FR,75.99,overcast clouds,44.33,2.0,Hôtel les Fleurines
425,Padang,ID,76.64,scattered clouds,-0.95,100.35,Mercure Padang
426,Galle,LK,79.03,moderate rain,6.04,80.22,CocoBay Unawatuna
428,Yangjiang,CN,77.58,moderate rain,21.85,111.97,HUALUXE Yangjiang City Center
429,Coari,BR,94.66,scattered clouds,-4.08,-63.14,HOTEL ALEX FLAT
430,Cumra,TR,71.6,broken clouds,37.57,32.77,Catalhoyuk Hotel
434,Karpathos,GR,78.8,clear sky,35.51,27.21,Alex
437,Asyut,EG,98.6,clear sky,27.18,31.18,Florence Hotel Assiut
438,Galveston,US,91.99,clear sky,29.37,-94.97,Comfort Inn & Suites Texas City
440,Kulhudhuffushi,MV,82.76,light rain,6.62,73.07,Haajy Guest House 1
448,Arcachon,FR,71.6,broken clouds,44.59,-1.05,Hôtel All Suites Le Teich
449,Marienburg,PL,75.0,scattered clouds,54.04,19.03,Hotel Centrum Malbork
452,Pueblo,US,82.0,clear sky,38.25,-104.61,Hampton Inn & Suites Pueblo-Southgate
454,Quatre Cocos,MU,70.0,broken clouds,-20.21,57.76,Veranda Palmar Beach Hotel
455,Houma,US,82.99,thunderstorm with light rain,29.6,-90.72,Courtyard by Marriott Houma
456,Reconquista,AR,78.22,broken clouds,-29.15,-59.65,Grand Hotel
457,Mount Vernon,US,90.0,broken clouds,40.91,-73.84,Ramada by Wyndham Bronx
458,Natal,BR,86.0,scattered clouds,-5.79,-35.21,Villa Park Hotel | Natal
464,Loandjili,CG,75.2,scattered clouds,-4.76,11.86,Résidence ARCHANGE
465,Fatehpur,IN,92.71,scattered clouds,25.93,80.8,City Club
466,Atotonilquillo,MX,78.01,scattered clouds,20.4,-103.13,morelos 48 atotonilquillo jal.
468,Avera,US,95.0,scattered clouds,33.19,-82.53,
469,Najran,SA,87.8,scattered clouds,17.49,44.13,محمد هادي ال فطيح
472,Sabana Grande De Boya,DO,93.2,scattered clouds,18.95,-69.79,Balcones De Boya
475,Omboue,GA,72.61,broken clouds,-1.57,9.26,Hotel Olako
476,Halifax,CA,84.0,scattered clouds,44.65,-63.57,Hotel Halifax
478,Tamandare,BR,77.61,scattered clouds,-8.76,-35.1,Pousada 100 Passos
479,Sao Joao Da Barra,BR,77.0,few clouds,-21.64,-41.05,Pousada Porto De Canoas
480,Qurayyat,SA,95.0,clear sky,31.33,37.34,Mozon Furnished Aprtments
483,Tete,MZ,77.0,scattered clouds,-16.16,33.59,Zambeze Paraíso Misterioso
487,Lusambo,CD,85.37,broken clouds,-4.97,23.45,
488,Yanam,IN,83.16,overcast clouds,16.73,82.22,The Regency Hotel
491,Ledyard,US,80.6,overcast clouds,41.44,-72.01,Stonecroft Country Inn
494,Canon City,US,80.6,clear sky,38.44,-105.24,Travel Inn Motel
496,Bintulu,MY,77.0,scattered clouds,3.17,113.03,900 Boutique INN
497,Bissau,GW,75.2,thunderstorm with light rain,11.86,-15.6,Pensão Creola
498,Beyneu,KZ,90.3,broken clouds,45.32,55.2,NUR
499,Nicoya,CR,89.6,scattered clouds,10.15,-85.45,Guayacan Real
500,Muros,ES,70.0,overcast clouds,42.78,-9.06,Apartment Av. Castelao
502,Sakaiminato,JP,78.8,broken clouds,35.55,133.23,味処・民宿 まつや
505,Bismarck,US,77.0,few clouds,46.81,-100.78,Ramkota Hotel & Conference Center
507,Irbil,IQ,91.4,clear sky,36.19,44.01,Erbil International Hotel
508,Mozarlandia,BR,94.23,clear sky,-14.74,-50.57,Hotel Santa Mônica
509,Murgab,TM,84.2,clear sky,37.5,61.97,
510,Merida,MX,95.0,broken clouds,20.97,-89.62,Fiesta Americana Mérida
511,Hobyo,SO,78.91,scattered clouds,5.35,48.53,Osmani Hotel
512,Sao Filipe,CV,78.31,broken clouds,14.9,-24.5,Tortuga B&B
513,Tual,ID,77.02,broken clouds,-5.67,132.75,Grand Vilia Hotel
514,Sapa,PH,80.26,broken clouds,5.15,120.32,
515,Canjulao,PH,79.0,broken clouds,9.66,124.35,Dine & Sign and IDEA Pension House
516,Bud,US,79.0,scattered clouds,39.45,-86.18,Madsion Scouts Camp
517,The Pas,CA,73.4,clear sky,53.83,-101.25,Wescana Inn
518,Portland,US,78.01,scattered clouds,45.52,-122.68,Portland Marriott City Center
523,Rio Bravo,MX,89.6,broken clouds,25.98,-98.1,Hotel Fiesta Brava Inn
525,Inongo,CD,78.4,overcast clouds,-1.95,18.27,Hotel Du Lac
526,San Cristobal,VE,93.2,scattered clouds,7.77,-72.22,Pirineos
528,Anloga,GH,78.8,few clouds,5.79,0.9,Dey Lodge
529,Shingu,JP,73.99,light rain,33.73,135.98,Shingu UI Hotel
531,Mormugao,IN,78.8,light rain,15.4,73.8,Hotel La-Paz Gardens
532,Viransehir,TR,89.89,clear sky,37.24,39.76,Viranşehir Öğretmenevi
533,Oriximina,BR,93.65,few clouds,-1.77,-55.87,Pousada Tia Amélia
535,Anori,BR,96.69,scattered clouds,-3.77,-61.64,Novo Hotel 05 Irmaos
537,Morant Bay,JM,89.6,few clouds,17.88,-76.41,Whispering Bamboo Cove Resort
538,Santa Cruz,BO,89.6,few clouds,-17.8,-63.17,Hotel Cortez
540,Kintampo,GH,76.82,broken clouds,8.06,-1.73,Adomaa Memorial Hotel
546,Kampong Thum,KH,76.12,overcast clouds,12.71,104.89,Sambor Village Hotel
547,Zhongshan,CN,80.28,moderate rain,21.32,110.58,Jianmin Restaurant
548,Naze,JP,77.0,mist,28.37,129.48,奄美ポートタワーホテル
552,Grand Island,US,77.0,few clouds,40.92,-98.34,Fairfield Inn & Suites by Marriott Grand Island
553,Ormara,PK,85.12,scattered clouds,25.21,64.64,
554,Payakumbuh,ID,70.16,broken clouds,-0.22,100.63,OYO 3114 Homestay Dalimo
555,Shasta Lake,US,93.0,clear sky,40.68,-122.37,Shasta Dam Motel
557,Basavana Bagevadi,IN,74.75,overcast clouds,16.58,75.97,Jagajyothi Basaveshwar Yatri Nivas
563,San Juan Del Rio,MX,73.4,scattered clouds,20.38,-100.0,Hotel Plaza Venecia
565,Manisa,TR,82.4,clear sky,38.83,28.17,
566,Ukiah,US,84.0,clear sky,39.15,-123.21,Hampton Inn Ukiah
568,Asfi,MA,76.23,few clouds,32.3,-9.24,Hôtel Abda
569,San Patricio,MX,91.4,clear sky,19.22,-104.7,Hotel Cabo Blanco
570,Salmas,IR,78.8,clear sky,38.2,44.77,Ata Hotel
571,Karlshamn,SE,71.01,overcast clouds,56.17,14.86,Port Hotel AB
572,Ponta Delgada,PT,75.2,few clouds,37.73,-25.67,Vila Nova Hotel
573,Villa Carlos Paz,AR,77.0,scattered clouds,-31.42,-64.5,Monte Carlo
574,Monrovia,LR,80.6,broken clouds,6.3,-10.8,Eco-Hotel Hall & Restaurant
575,Westport,US,84.0,light rain,41.14,-73.36,The Westport Inn
576,Banda Aceh,ID,81.12,overcast clouds,5.56,95.32,OYO 884 Rumoh PMI Hotel
577,Dawei,MM,78.1,heavy intensity rain,14.08,98.2,Hotel Dawei
578,Velingara,SN,86.14,scattered clouds,13.15,-14.12,Hotel Najla
581,Samarai,PG,76.8,light rain,-10.62,150.67,Nuli Sapi
583,Nanakuli,US,80.6,few clouds,21.39,-158.15,Camp Palehua
586,Kidal,ML,95.88,light rain,18.44,1.41,
587,Palmer,US,84.0,light rain,42.16,-72.33,Wedgewood Motel
588,Gravelbourg,CA,79.88,scattered clouds,49.88,-106.55,Historic Bishops Residence Bed & Breakfast
589,Keelung,TW,81.0,moderate rain,25.13,121.74,East Coast Star Boutique Hotel
590,Acapulco,MX,87.8,few clouds,16.86,-99.89,HS Hotsson Smart Acapulco
591,Tuy Hoa,VN,81.18,light rain,13.08,109.3,CenDeluxe Hotel Tuy Hoa
592,Pipri,IN,80.11,moderate rain,19.8,75.53,Sukhana River nilu and rushi home
593,Broome,US,84.99,broken clouds,42.25,-75.83,Chenango Valley State Park
594,Atbasar,KZ,72.79,clear sky,51.8,68.33,"The Ritz-Carlton, Astana"
596,Nazilli,TR,89.04,broken clouds,37.92,28.32,Gül Palast
599,Gari,RU,71.02,broken clouds,59.43,62.35,
600,Colorado Springs,US,78.8,clear sky,38.83,-104.82,"The Antlers, A Wyndham Hotel"
603,Nisia Floresta,BR,86.0,scattered clouds,-6.09,-35.21,Rancho Crepusculo
